BNP
210.2
218.1
209.5
217.8
220.2
226.1
219.6
224.6
228.1
231.1
227.1
236.7
227.8
232.7
227.8
240.2
238.3
252.4
242.8
259.8
254.3
261.5
252.8
267.8
260.8
275.2
269.6
282.5
273.9
291.8
281.8
298.6
288.4
294.3
293.8
309.5
296.3
310.0
306.6
328.6
316.9
330.4
327.4
352.2
329.5
342.1
340.5
359.5
337.8
355.0
350.0
367.4
347.3
356.8
354.6
378.1
360.6
375.3
373.2
397.0
372.7
401.1
395.8
416.5
399.6
427.5
421.5
433.7
416.1
431.8
432.7
458.3
432.8
456.7
454.3
457.7
420.8
426.6
429.2
445.5
430.5
454.6
455.8
470.0
449.7
466.6
456.5
474.0
457.6
477.7
474.1
485.6
464.3
487.5
482.2
495.7
479.6
495.2
493.7
512.7
495.9
513.5
505.9
521.1
504.8
534.1
521.5
547.4
530.6
558.4
541.1
562.9
538.6
569.3
560.2
585.2
558.2
585.0
576.7
598.2
576.5
561.3
584.0
607.7
581.1
630.8
